candidate_lambda1,seed,stage,method_family,corruption_fraction,confidence,edge_count,fit_status,graph_status,sampler_status,metric_status,record_path,configuration_hash_full,configuration_hash_prefix
,401,diagnostic_soft,soft_frobenius,0.0,0.0,15,success,valid_dag,available,computed,results/main_study/274cfe3fef32/records/soft_frobenius__main_calibration__seed401__cfgdb7f9e81863f.json,db7f9e81863f5de4be306a7134eefaa22dbdebcafecf00b5050b3b970bfa7644,db7f9e81863f
,401,diagnostic_soft,soft_frobenius,0.0,0.25,13,success,valid_dag,available,computed,results/main_study/274cfe3fef32/records/soft_frobenius__main_calibration__seed401__cfg8581d538fa26.json,8581d538fa26aebc13229c8875dd4790dd734b2f91a05ac9b390f4f519f9f12e,8581d538fa26
,401,diagnostic_soft,soft_frobenius,0.0,0.5,13,success,valid_dag,available,computed,results/main_study/274cfe3fef32/records/soft_frobenius__main_calibration__seed401__cfgd2d01c6b0017.json,d2d01c6b0017524a1a117e79d4b86173f55940bbdc23618555e9ef2f3e7eb4cb,d2d01c6b0017
,401,diagnostic_soft,soft_frobenius,0.0,0.75,14,success,valid_dag,available,computed,results/main_study/274cfe3fef32/records/soft_frobenius__main_calibration__seed401__cfg0e8ee141b8d5.json,0e8ee141b8d509fe2dbd4d070caedb02bb5135465598564f0e944d7d9400d598,0e8ee141b8d5
,401,diagnostic_soft,soft_frobenius,0.0,1.0,14,success,valid_dag,available,computed,results/main_study/274cfe3fef32/records/soft_frobenius__main_calibration__seed401__cfg3a419d7f92fd.json,3a419d7f92fda2b31034022a645f3b291f24a67b436b53c227118fd77f6c8244,3a419d7f92fd
,401,diagnostic_soft,soft_frobenius,0.2,0.0,15,success,valid_dag,available,computed,results/main_study/274cfe3fef32/records/soft_frobenius__main_calibration__seed401__cfg7b452332e0af.json,7b452332e0af3edef931ec76c635e0dc29529be99235cc3f90d3d058a54f303f,7b452332e0af
,401,diagnostic_soft,soft_frobenius,0.2,0.25,12,success,valid_dag,available,computed,results/main_study/274cfe3fef32/records/soft_frobenius__main_calibration__seed401__cfg4d7ee717cf0c.json,4d7ee717cf0cbc150f0bf1bb8538d1c12ec3dac1d4e36dd1d3157093488799bb,4d7ee717cf0c
,401,diagnostic_soft,soft_frobenius,0.2,0.5,12,success,valid_dag,available,computed,results/main_study/274cfe3fef32/records/soft_frobenius__main_calibration__seed401__cfg0660752ee3b8.json,0660752ee3b8fa9d0f455df5a5f9a1b1642f8f1c968c4c0c9035095c00119ae4,0660752ee3b8
,401,diagnostic_soft,soft_frobenius,0.2,0.75,13,success,valid_dag,available,computed,results/main_study/274cfe3fef32/records/soft_frobenius__main_calibration__seed401__cfg0fcc7f269586.json,0fcc7f269586b39141b160d7c6d36f22d7a2ade26e2a3c2234b9fb6fc749b3bd,0fcc7f269586
,401,diagnostic_soft,soft_frobenius,0.2,1.0,13,success,valid_dag,available,computed,results/main_study/274cfe3fef32/records/soft_frobenius__main_calibration__seed401__cfg7cf0e6fd8850.json,7cf0e6fd8850915ec649538936e5b5c4b566cad03902c055857d52b01edea828,7cf0e6fd8850
,401,diagnostic_soft,soft_frobenius,0.4,0.0,15,success,valid_dag,available,computed,results/main_study/274cfe3fef32/records/soft_frobenius__main_calibration__seed401__cfg2b65227c9d04.json,2b65227c9d04fca18869dc9f65ede17185e2b2a60cd430c2b1f758eda1cb78f1,2b65227c9d04
,401,diagnostic_soft,soft_frobenius,0.4,0.25,14,success,valid_dag,available,computed,results/main_study/274cfe3fef32/records/soft_frobenius__main_calibration__seed401__cfg8d780a9e35c4.json,8d780a9e35c46522462bcffa0c508476381952da4f9c530b98f982e34f7d5e84,8d780a9e35c4
,401,diagnostic_soft,soft_frobenius,0.4,0.5,14,success,valid_dag,available,computed,results/main_study/274cfe3fef32/records/soft_frobenius__main_calibration__seed401__cfg36cce5df30c6.json,36cce5df30c630d0ba0216c0d11c31ecc666fde9aac4d22fb91552c1104c3f97,36cce5df30c6
,401,diagnostic_soft,soft_frobenius,0.4,0.75,14,success,valid_dag,available,computed,results/main_study/274cfe3fef32/records/soft_frobenius__main_calibration__seed401__cfge0594190f534.json,e0594190f534b87e8e99532e38a61f2e39c185cf2ecc14377559e90fdb440d10,e0594190f534
,401,diagnostic_soft,soft_frobenius,0.4,1.0,14,success,valid_dag,available,computed,results/main_study/274cfe3fef32/records/soft_frobenius__main_calibration__seed401__cfg24c2522374c9.json,24c2522374c9dd215aa2b1fd65e6fad8dcdc67d8e9e17cc4a2b160d4fcb6700e,24c2522374c9
,401,diagnostic_soft,soft_frobenius,0.6,0.0,15,success,valid_dag,available,computed,results/main_study/274cfe3fef32/records/soft_frobenius__main_calibration__seed401__cfg383ae1f89596.json,383ae1f89596c0e39ec437726a7c7d13a528e97ff70a28c41763bba114366330,383ae1f89596
,401,diagnostic_soft,soft_frobenius,0.6,0.25,13,success,valid_dag,available,computed,results/main_study/274cfe3fef32/records/soft_frobenius__main_calibration__seed401__cfgaec3e35eb4ea.json,aec3e35eb4ea9d9e359c517ce36b4764f6314490dec9a06f5061bed935d1f391,aec3e35eb4ea
,401,diagnostic_soft,soft_frobenius,0.6,0.5,12,success,valid_dag,available,computed,results/main_study/274cfe3fef32/records/soft_frobenius__main_calibration__seed401__cfgc5d58fab7370.json,c5d58fab737013a58f55cd05cd2cbaa3e03d9381a6f0c9db7a76ba3c60623cc8,c5d58fab7370
,401,diagnostic_soft,soft_frobenius,0.6,0.75,13,success,valid_dag,available,computed,results/main_study/274cfe3fef32/records/soft_frobenius__main_calibration__seed401__cfgd879e992c7e0.json,d879e992c7e0920c03972d935e300ec39b61a13c8030b472262fe768237b19e9,d879e992c7e0
,401,diagnostic_soft,soft_frobenius,0.6,1.0,13,success,valid_dag,available,computed,results/main_study/274cfe3fef32/records/soft_frobenius__main_calibration__seed401__cfg17a1b3f843f3.json,17a1b3f843f3ef0b72f74698ef91f3408103a80e77b00ea3931b0095ee0edefc,17a1b3f843f3
