candidate_lambda1,seed,stage,method_family,corruption_fraction,confidence,edge_count,fit_status,graph_status,sampler_status,metric_status,record_path,configuration_hash_full,configuration_hash_prefix
,401,diagnostic_soft,soft_frobenius,0.0,0.0,12,success,valid_dag,available,computed,results/main_study/71bfe6629b9d/records/soft_frobenius__main_calibration__seed401__cfgfc60797a21a4.json,fc60797a21a49adc503d440f7eef85e5bba0180f4c46f4faa4849a4f8e43b944,fc60797a21a4
,401,diagnostic_soft,soft_frobenius,0.0,0.25,11,success,valid_dag,available,computed,results/main_study/71bfe6629b9d/records/soft_frobenius__main_calibration__seed401__cfg482dea6b092f.json,482dea6b092f93a7c9d88fbada7a9e5b9c122f9d887f48bc0b932061cea1e059,482dea6b092f
,401,diagnostic_soft,soft_frobenius,0.0,0.5,11,success,valid_dag,available,computed,results/main_study/71bfe6629b9d/records/soft_frobenius__main_calibration__seed401__cfgf898316de76b.json,f898316de76ba6c1469327d663eb65c167715b596341e6a1b6e3b8236c9fa820,f898316de76b
,401,diagnostic_soft,soft_frobenius,0.0,0.75,12,success,valid_dag,available,computed,results/main_study/71bfe6629b9d/records/soft_frobenius__main_calibration__seed401__cfgf9dd821fee13.json,f9dd821fee13ce94990622a97faf71161ea652488a337e1363066513bc32e0e3,f9dd821fee13
,401,diagnostic_soft,soft_frobenius,0.0,1.0,12,success,valid_dag,available,computed,results/main_study/71bfe6629b9d/records/soft_frobenius__main_calibration__seed401__cfge19a8c83ff80.json,e19a8c83ff80738e585d8c883c2508e35e3fe6218ccc3c24ec1bb419af49950b,e19a8c83ff80
,401,diagnostic_soft,soft_frobenius,0.2,0.0,12,success,valid_dag,available,computed,results/main_study/71bfe6629b9d/records/soft_frobenius__main_calibration__seed401__cfgf28ba174199b.json,f28ba174199bb25725ab646b265fd5aac9f8e45b20c4654acbc8b2bf0fbddbea,f28ba174199b
,401,diagnostic_soft,soft_frobenius,0.2,0.25,11,success,valid_dag,available,computed,results/main_study/71bfe6629b9d/records/soft_frobenius__main_calibration__seed401__cfg29eb6e40e8df.json,29eb6e40e8df600c35c7ade452c1904845cfa20768d3f4e24f747eb47aceaf04,29eb6e40e8df
,401,diagnostic_soft,soft_frobenius,0.2,0.5,11,success,valid_dag,available,computed,results/main_study/71bfe6629b9d/records/soft_frobenius__main_calibration__seed401__cfgd8307ec23425.json,d8307ec23425e02e68293c6f4b490bde9c47e1b6f9f783f687a708344d7e67e4,d8307ec23425
,401,diagnostic_soft,soft_frobenius,0.2,0.75,11,success,valid_dag,available,computed,results/main_study/71bfe6629b9d/records/soft_frobenius__main_calibration__seed401__cfg534dc26b9c09.json,534dc26b9c092ee5d424db14dd184a0375eba6dd676ed7961cca5c0a3389c707,534dc26b9c09
,401,diagnostic_soft,soft_frobenius,0.2,1.0,11,success,valid_dag,available,computed,results/main_study/71bfe6629b9d/records/soft_frobenius__main_calibration__seed401__cfg36f716bc660e.json,36f716bc660e6e2a66ec551d9ffa8a4a8a652b9f3a3c55b596436364508a98fe,36f716bc660e
,401,diagnostic_soft,soft_frobenius,0.4,0.0,12,success,valid_dag,available,computed,results/main_study/71bfe6629b9d/records/soft_frobenius__main_calibration__seed401__cfgee6413c51376.json,ee6413c513769e7c1a7eb8742f3c9e25194260be1858f1abd41f3147ff4fe84c,ee6413c51376
