seed_value,scenario_label,search_strategy,n_candidate_edges,n_selected_edges,n_skipped_cycle_edges,sid_original,sid_after,sid_delta,shd_original,shd_after,shd_delta,selected_edges_json,skipped_cycle_edges_json
501,actual_reference_forbidden_removal,remove_reference_forbidden,10,10,0,77,78,1,30,27,-3,"[[0,4],[4,0],[5,0],[5,3],[5,8],[5,9],[6,0],[7,5],[8,7],[9,7]]",[]
501,fp_remove_budget10_exact,exact_subset_sid_primary,11,10,0,77,52,-25,30,20,-10,"[[4,3],[4,5],[4,6],[5,3],[5,9],[6,0],[7,2],[7,9],[9,0],[9,6]]",[]
501,fp_remove_all_false_positives,remove_all_false_positives,11,11,0,77,52,-25,30,19,-11,"[[4,3],[4,5],[4,6],[5,3],[5,9],[6,0],[7,2],[7,9],[8,4],[9,0],[9,6]]",[]
501,fn_add_budget10_greedy_acyclic,greedy_acyclic_sid_primary_budget10,19,0,19,77,77,0,30,30,0,[],"[[0,7],[0,8],[0,9],[1,8],[2,7],[3,2],[3,4],[3,5],[4,2],[4,8],[5,2],[5,4],[6,2],[6,4],[6,5],[6,7],[6,9],[9,2],[9,5]]"
501,fn_add_full_greedy_acyclic,greedy_acyclic_sid_primary_full_candidate,19,0,19,77,77,0,30,30,0,[],"[[0,7],[0,8],[0,9],[1,8],[2,7],[3,2],[3,4],[3,5],[4,2],[4,8],[5,2],[5,4],[6,2],[6,4],[6,5],[6,7],[6,9],[9,2],[9,5]]"
502,actual_reference_forbidden_removal,remove_reference_forbidden,10,10,0,50,44,-6,15,14,-1,"[[0,3],[1,2],[1,7],[3,4],[3,6],[4,1],[5,2],[6,7],[9,0],[9,2]]",[]
502,fp_remove_budget10_exact,exact_subset_sid_primary,4,4,0,50,37,-13,15,11,-4,"[[3,6],[5,7],[7,9],[8,7]]",[]
502,fp_remove_all_false_positives,remove_all_false_positives,4,4,0,50,37,-13,15,11,-4,"[[3,6],[5,7],[7,9],[8,7]]",[]
502,fn_add_budget10_greedy_acyclic,greedy_acyclic_sid_primary_budget10,11,6,5,50,36,-14,15,9,-6,"[[6,8],[6,1],[3,0],[6,0],[3,5],[6,5]]","[[4,5],[6,3],[7,1],[9,1],[9,7]]"
502,fn_add_full_greedy_acyclic,greedy_acyclic_sid_primary_full_candidate,11,6,5,50,36,-14,15,9,-6,"[[6,8],[6,1],[3,0],[6,0],[3,5],[6,5]]","[[4,5],[6,3],[7,1],[9,1],[9,7]]"
503,actual_reference_forbidden_removal,remove_reference_forbidden,10,10,0,66,67,1,27,26,-1,"[[0,3],[2,7],[2,8],[4,1],[5,2],[7,3],[7,4],[7,9],[8,2],[8,4]]",[]
503,fp_remove_budget10_exact,exact_subset_sid_primary,13,10,0,66,42,-24,27,17,-10,"[[0,7],[1,3],[1,6],[3,2],[4,7],[5,6],[8,7],[8,9],[9,3],[9,6]]",[]
503,fp_remove_all_false_positives,remove_all_false_positives,13,13,0,66,50,-16,27,14,-13,"[[0,7],[1,3],[1,6],[3,2],[4,1],[4,3],[4,7],[5,6],[5,9],[8,7],[8,9],[9,3],[9,6]]",[]
503,fn_add_budget10_greedy_acyclic,greedy_acyclic_sid_primary_budget10,14,4,10,66,61,-5,27,23,-4,"[[4,2],[0,1],[4,8],[4,9]]","[[2,3],[3,1],[3,9],[6,5],[6,9],[7,0],[7,1],[7,5],[7,8],[9,8]]"
503,fn_add_full_greedy_acyclic,greedy_acyclic_sid_primary_full_candidate,14,4,10,66,61,-5,27,23,-4,"[[4,2],[0,1],[4,8],[4,9]]","[[2,3],[3,1],[3,9],[6,5],[6,9],[7,0],[7,1],[7,5],[7,8],[9,8]]"
504,actual_reference_forbidden_removal,remove_reference_forbidden,10,10,0,49,52,3,17,16,-1,"[[2,5],[2,9],[3,6],[4,8],[5,9],[6,2],[7,8],[9,2],[9,4],[9,8]]",[]
504,fp_remove_budget10_exact,exact_subset_sid_primary,9,9,0,49,25,-24,17,8,-9,"[[2,1],[4,3],[4,5],[4,7],[5,8],[6,3],[6,7],[6,8],[7,8]]",[]
504,fp_remove_all_false_positives,remove_all_false_positives,9,9,0,49,25,-24,17,8,-9,"[[2,1],[4,3],[4,5],[4,7],[5,8],[6,3],[6,7],[6,8],[7,8]]",[]
504,fn_add_budget10_greedy_acyclic,greedy_acyclic_sid_primary_budget10,8,1,7,49,46,-3,17,16,-1,"[[5,3]]","[[1,2],[1,5],[3,4],[5,6],[7,4],[7,6],[8,6]]"
504,fn_add_full_greedy_acyclic,greedy_acyclic_sid_primary_full_candidate,8,1,7,49,46,-3,17,16,-1,"[[5,3]]","[[1,2],[1,5],[3,4],[5,6],[7,4],[7,6],[8,6]]"
505,actual_reference_forbidden_removal,remove_reference_forbidden,10,10,0,80,77,-3,27,26,-1,"[[0,6],[1,0],[2,4],[2,5],[3,4],[5,4],[6,1],[7,3],[7,6],[7,8]]",[]
505,fp_remove_budget10_exact,exact_subset_sid_primary,13,10,0,80,46,-34,27,17,-10,"[[0,2],[0,5],[1,2],[4,6],[5,3],[7,2],[7,4],[7,6],[8,4],[9,1]]",[]
505,fp_remove_all_false_positives,remove_all_false_positives,13,13,0,80,46,-34,27,14,-13,"[[0,2],[0,5],[1,2],[1,4],[3,1],[3,6],[4,6],[5,3],[7,2],[7,4],[7,6],[8,4],[9,1]]",[]
