seed_value,condition_label,method_family,n_reference_forbidden_edges,n_reference_edges_predicted,fraction_reference_edges_predicted,edge_count,sid,shd,mmd
501,prior_free,prior_free,10,3,0.3,13,77.0,30.0,0.16388690707561904
501,matched_l1,matched_l1,10,3,0.3,12,77.0,29.0,0.1644540986006024
501,soft_frobenius_clean_conf1,soft_frobenius,10,1,0.1,11,78.0,28.0,0.16365093056612212
501,hard_exclusion_clean,hard_exclusion,10,0,0.0,9,63.0,20.0,0.13375186087770308
502,prior_free,prior_free,10,1,0.1,12,50.0,15.0,0.10164259889833467
502,matched_l1,matched_l1,10,1,0.1,12,50.0,15.0,0.10454751659595533
502,soft_frobenius_clean_conf1,soft_frobenius,10,1,0.1,13,50.0,16.0,0.10006436452883163
502,hard_exclusion_clean,hard_exclusion,10,0,0.0,12,38.0,13.0,0.06008397305657518
503,prior_free,prior_free,10,1,0.1,17,66.0,27.0,0.08278547174070164
503,matched_l1,matched_l1,10,0,0.0,17,76.0,29.0,0.1001522864381907
503,soft_frobenius_clean_conf1,soft_frobenius,10,0,0.0,17,75.0,27.0,0.09393962787623847
503,hard_exclusion_clean,hard_exclusion,10,0,0.0,15,74.0,21.0,0.09789171912574243
504,prior_free,prior_free,10,1,0.1,13,49.0,17.0,0.0941941837499227
504,matched_l1,matched_l1,10,1,0.1,13,48.0,19.0,0.10699772080705568
504,soft_frobenius_clean_conf1,soft_frobenius,10,0,0.0,12,52.0,16.0,0.09353607547295872
504,hard_exclusion_clean,hard_exclusion,10,0,0.0,13,51.0,17.0,0.09366870368914407
505,prior_free,prior_free,10,1,0.1,16,80.0,27.0,0.11094185370472605
505,matched_l1,matched_l1,10,1,0.1,15,81.0,26.0,0.11194539683586306
505,soft_frobenius_clean_conf1,soft_frobenius,10,0,0.0,17,85.0,28.0,0.11048689277939264
505,hard_exclusion_clean,hard_exclusion,10,0,0.0,15,78.0,30.0,0.092599516907912
506,prior_free,prior_free,10,1,0.1,14,75.0,24.0,0.13159436306190184
506,matched_l1,matched_l1,10,1,0.1,13,75.0,23.0,0.1339746859343327
506,soft_frobenius_clean_conf1,soft_frobenius,10,0,0.0,13,75.0,23.0,0.13165499816470452
506,hard_exclusion_clean,hard_exclusion,10,0,0.0,13,75.0,23.0,0.1316705035903056
507,prior_free,prior_free,10,1,0.1,18,66.0,28.0,0.10282244353846574
507,matched_l1,matched_l1,10,1,0.1,18,66.0,28.0,0.10703643285789892
507,soft_frobenius_clean_conf1,soft_frobenius,10,0,0.0,18,73.0,28.0,0.1024646394337985
507,hard_exclusion_clean,hard_exclusion,10,0,0.0,17,76.0,33.0,0.10571725933849314
