seed_value,condition_label,method_family,n_reference_forbidden_edges,n_reference_edges_predicted,fraction_reference_edges_predicted,edge_count,sid,shd,mmd
501,prior_free,prior_free,10,2,0.2,11,78.0,28.0,0.16619515131854726
501,matched_l1,matched_l1,10,2,0.2,11,78.0,28.0,0.16619515131854726
501,soft_frobenius_clean_conf1,soft_frobenius,10,0,0.0,8,69.0,25.0,0.1633849206648535
501,hard_exclusion_clean,hard_exclusion,10,0,0.0,8,65.0,19.0,0.15035786114758856
502,prior_free,prior_free,10,1,0.1,12,50.0,15.0,0.11286900258444439
502,matched_l1,matched_l1,10,1,0.1,12,50.0,15.0,0.11286900258444439
502,soft_frobenius_clean_conf1,soft_frobenius,10,1,0.1,13,50.0,16.0,0.11138171682121956
502,hard_exclusion_clean,hard_exclusion,10,0,0.0,12,38.0,13.0,0.0774803549167116
503,prior_free,prior_free,10,0,0.0,13,79.0,23.0,0.10221424980492717
503,matched_l1,matched_l1,10,0,0.0,13,79.0,23.0,0.10221424980492717
503,soft_frobenius_clean_conf1,soft_frobenius,10,0,0.0,13,79.0,23.0,0.1022156364339069
503,hard_exclusion_clean,hard_exclusion,10,0,0.0,12,79.0,24.0,0.09602176730477484
504,prior_free,prior_free,10,0,0.0,9,44.0,13.0,0.09487994554137902
504,matched_l1,matched_l1,10,0,0.0,9,44.0,13.0,0.09487994554137902
504,soft_frobenius_clean_conf1,soft_frobenius,10,0,0.0,9,44.0,13.0,0.09488354694254546
504,hard_exclusion_clean,hard_exclusion,10,0,0.0,9,44.0,13.0,0.09487942594593772
505,prior_free,prior_free,10,0,0.0,11,79.0,22.0,0.11558979414323323
505,matched_l1,matched_l1,10,0,0.0,11,79.0,22.0,0.11558979414323323
505,soft_frobenius_clean_conf1,soft_frobenius,10,0,0.0,12,83.0,23.0,0.11542884512267163
505,hard_exclusion_clean,hard_exclusion,10,0,0.0,12,84.0,25.0,0.12765307718815505
506,prior_free,prior_free,10,1,0.1,9,74.0,21.0,0.13784229997022548
506,matched_l1,matched_l1,10,1,0.1,9,74.0,21.0,0.13784229997022548
506,soft_frobenius_clean_conf1,soft_frobenius,10,0,0.0,8,74.0,20.0,0.13793391018679946
506,hard_exclusion_clean,hard_exclusion,10,0,0.0,8,74.0,20.0,0.13793323612780944
507,prior_free,prior_free,10,1,0.1,14,56.0,24.0,0.1162049988136947
507,matched_l1,matched_l1,10,1,0.1,14,56.0,24.0,0.1162049988136947
507,soft_frobenius_clean_conf1,soft_frobenius,10,0,0.0,13,56.0,23.0,0.115910000507688
507,hard_exclusion_clean,hard_exclusion,10,0,0.0,13,56.0,23.0,0.11588995321876934
