run_id,configuration_hash_prefix,configuration_hash_full,method_family,final_status,was_overwritten,record_path,runtime_seconds,message
prior_free__main_evaluation__seed501__cfg11a0cbd62cc0,11a0cbd62cc0,11a0cbd62cc0ce2410625a1796714638f67ded12dda8007de6cc5269759dd518,prior_free,success_computed,False,results/main_study/166c792c43bc/records/prior_free__main_evaluation__seed501__cfg11a0cbd62cc0.json,10.485279100001208,
matched_l1__main_evaluation__seed501__cfg0642a8dad897,0642a8dad897,0642a8dad8979296e0787050e4d67bef34e6d21824d9ac48f4650aa9cc552971,matched_l1,success_computed,False,results/main_study/166c792c43bc/records/matched_l1__main_evaluation__seed501__cfg0642a8dad897.json,6.890724800003227,
soft_frobenius__main_evaluation__seed501__cfg450b4b3495c8,450b4b3495c8,450b4b3495c8a4b8f6ecbc92c9aaaeefc35fbf49c5ff1bdb60c3a9523853a614,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed501__cfg450b4b3495c8.json,10.999984600013704,
soft_frobenius__main_evaluation__seed501__cfg18e255c333e5,18e255c333e5,18e255c333e52eeecd0918423cd76f562fc92b0d299ff69799333eff130719e9,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed501__cfg18e255c333e5.json,8.80036619999737,
soft_frobenius__main_evaluation__seed501__cfge03d94852538,e03d94852538,e03d94852538c4d141d9e65e392db8005c4fd04b4b8c054e1059ee9f7e37c63f,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed501__cfge03d94852538.json,6.62061349999567,
soft_frobenius__main_evaluation__seed501__cfgd82c407bf7b6,d82c407bf7b6,d82c407bf7b64d763f56b482311d5f85d83a3febe92a01a926ccc70ce791e1b1,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed501__cfgd82c407bf7b6.json,6.902043000009144,
soft_frobenius__main_evaluation__seed501__cfg6ed4d338a3de,6ed4d338a3de,6ed4d338a3de052989d4b45a7d7638ef1d783398e7604a583f5b184d2a8f5f38,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed501__cfg6ed4d338a3de.json,9.264596300010453,
soft_frobenius__main_evaluation__seed501__cfg5d9feed0060a,5d9feed0060a,5d9feed0060a877122b312f419587009619438953fd75e18c4e75e09107b15c3,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed501__cfg5d9feed0060a.json,10.286043999993126,
soft_frobenius__main_evaluation__seed501__cfg8b6b55d99253,8b6b55d99253,8b6b55d99253b016c921dc4a9033cc01810073f19d2cb718bfe49a2eb9c20e38,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed501__cfg8b6b55d99253.json,9.566722200004733,
soft_frobenius__main_evaluation__seed501__cfg37e0d7384719,37e0d7384719,37e0d73847198d178db4f390e3a25407408188ea42c8c7a9e7a91162871cf766,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed501__cfg37e0d7384719.json,10.578200399992056,
