method_family,corruption_fraction,confidence,n,sid_mean,sid_std,sid_median,shd_mean,shd_std,shd_median,mmd_mean,mmd_std,mmd_median,edge_count_mean,edge_count_std,edge_count_median
hard_exclusion,0.0,,7,62.857142857142854,17.591935381764863,65.0,19.571428571428573,4.961758520831865,20.0,0.11431652512139236,0.02616125844830563,0.11588995321876934,10.571428571428571,2.14919697074224,12.0
hard_exclusion,0.2,,7,66.28571428571429,13.073054803861334,62.0,23.142857142857142,3.625307868699863,25.0,0.11589594749994374,0.02458216942452263,0.11728541894621178,11.285714285714286,1.7043362064926935,12.0
hard_exclusion,0.4,,7,69.14285714285714,8.745066636463697,68.0,24.142857142857142,4.634241089562614,26.0,0.11638449054422684,0.027992003509132352,0.1132586025830589,10.857142857142858,1.7728105208558367,11.0
hard_exclusion,0.6,,7,67.0,18.027756377319946,78.0,23.571428571428573,4.928053803045811,24.0,0.11558797764053538,0.033727523828263224,0.11728234355207448,11.428571428571429,1.2724180205607036,12.0
hard_exclusion,0.8,,7,71.0,10.98483803552272,70.0,26.714285714285715,4.750939756661683,29.0,0.12548079629402392,0.0256893103547226,0.12508497636321034,11.142857142857142,1.3451854182690985,11.0
matched_l1,,,7,65.71428571428571,15.195550727260986,74.0,20.857142857142858,5.209880722517277,22.0,0.12082792031092161,0.024081786440972797,0.11558979414323323,11.285714285714286,1.889822365046136,11.0
prior_free,,,7,65.71428571428571,15.195550727260986,74.0,20.857142857142858,5.209880722517277,22.0,0.12082792031092161,0.024081786440972797,0.11558979414323323,11.285714285714286,1.889822365046136,11.0
soft_frobenius,0.0,0.0,7,65.71428571428571,15.195550727260986,74.0,20.857142857142858,5.209880722517277,22.0,0.12082792031092161,0.024081786440972797,0.11558979414323323,11.285714285714286,1.889822365046136,11.0
soft_frobenius,0.0,0.25,7,66.28571428571429,15.839973544951453,74.0,20.714285714285715,4.956957592256421,23.0,0.12074267028882406,0.024004881873409337,0.11551923806245376,11.142857142857142,1.7728105208558367,12.0
soft_frobenius,0.0,0.5,7,66.28571428571429,15.839973544951453,74.0,20.571428571428573,4.961758520831865,23.0,0.12075781094186717,0.0240239351065772,0.11547544383987932,11.0,2.0,12.0
soft_frobenius,0.0,0.75,7,66.28571428571429,15.839973544951453,74.0,20.428571428571427,4.7559486560567095,23.0,0.12080499685018108,0.02413741496508952,0.1154567671746843,10.857142857142858,2.1157009420498154,12.0
soft_frobenius,0.0,1.0,7,65.0,15.077577170531521,69.0,20.428571428571427,4.3915503282684,23.0,0.1201626538113835,0.023319196102477822,0.11542884512267163,10.857142857142858,2.410295378065479,12.0
soft_frobenius,0.2,0.0,7,65.71428571428571,15.195550727260986,74.0,20.857142857142858,5.209880722517277,22.0,0.12082792031092161,0.024081786440972797,0.11558979414323323,11.285714285714286,1.889822365046136,11.0
soft_frobenius,0.2,0.25,7,66.28571428571429,15.839973544951453,74.0,20.857142857142858,5.047394424471945,23.0,0.12120756442165366,0.024237215926083334,0.11551878312699897,11.285714285714286,1.9760470401187076,12.0
soft_frobenius,0.2,0.5,7,66.28571428571429,15.839973544951453,74.0,20.714285714285715,5.0568200058365305,23.0,0.12153886267129546,0.02444887280024436,0.1154737037059482,11.142857142857142,2.193062655175134,12.0
soft_frobenius,0.2,0.75,7,66.57142857142857,16.12303882499763,74.0,20.714285714285715,4.956957592256421,23.0,0.12188293725534569,0.02466920447124948,0.1154442441221395,11.142857142857142,2.4784787961282104,12.0
soft_frobenius,0.2,1.0,7,66.14285714285714,14.960264830861913,69.0,20.857142857142858,4.740906081772816,23.0,0.12166444005316493,0.024030917382213236,0.11541858379876177,11.0,2.581988897471611,12.0
soft_frobenius,0.4,0.0,7,65.71428571428571,15.195550727260986,74.0,20.857142857142858,5.209880722517277,22.0,0.12082792031092161,0.024081786440972797,0.11558979414323323,11.285714285714286,1.889822365046136,11.0
