run_id,method_family,seed_value,corruption_fraction,confidence,n_targeted_forbidden_edges,mean_abs_w_targeted_forbidden_edges,fraction_targeted_forbidden_above_threshold,mean_abs_w_non_targeted_edges,edge_count_from_thresholded_adjacency
hard_exclusion__main_evaluation__seed501__cfg16d1765e8027,hard_exclusion,501,0.6,,10,0.0,0.0,0.09778224298184188,11
hard_exclusion__main_evaluation__seed501__cfg48fb49c729c9,hard_exclusion,501,0.4,,10,0.0,0.0,0.0861054400176101,8
hard_exclusion__main_evaluation__seed501__cfg63637ce11a59,hard_exclusion,501,0.2,,10,0.0,0.0,0.08599661078240885,8
hard_exclusion__main_evaluation__seed501__cfgb1b657091ecc,hard_exclusion,501,0.8,,10,0.0,0.0,0.08566194109813235,10
hard_exclusion__main_evaluation__seed501__cfgd76e5f77baf0,hard_exclusion,501,0.0,,10,0.0,0.0,0.08518698253507523,8
hard_exclusion__main_evaluation__seed502__cfg01878a261f06,hard_exclusion,502,0.0,,10,0.0,0.0,0.10712683315059694,12
hard_exclusion__main_evaluation__seed502__cfg1a0b25f41682,hard_exclusion,502,0.4,,10,0.0,0.0,0.10697353607595565,12
hard_exclusion__main_evaluation__seed502__cfg23e10daafdd2,hard_exclusion,502,0.6,,10,0.0,0.0,0.10717603523127488,12
hard_exclusion__main_evaluation__seed502__cfg7cde2ac19b9f,hard_exclusion,502,0.2,,10,0.0,0.0,0.10608932181466021,12
hard_exclusion__main_evaluation__seed502__cfgdf21f4e82c4b,hard_exclusion,502,0.8,,10,0.0,0.0,0.0914053521164651,11
hard_exclusion__main_evaluation__seed503__cfg10d4b6379143,hard_exclusion,503,0.8,,10,0.0,0.0,0.10685673820895983,13
hard_exclusion__main_evaluation__seed503__cfg6046ab985b54,hard_exclusion,503,0.0,,10,0.0,0.0,0.11014189264336767,12
hard_exclusion__main_evaluation__seed503__cfg844ec0d7d8b2,hard_exclusion,503,0.2,,10,0.0,0.0,0.10216054037046671,12
hard_exclusion__main_evaluation__seed503__cfgcf5c8b6ead73,hard_exclusion,503,0.4,,10,0.0,0.0,0.1053274893036007,13
hard_exclusion__main_evaluation__seed503__cfge3c940d7f95b,hard_exclusion,503,0.6,,10,0.0,0.0,0.10216897769220826,12
hard_exclusion__main_evaluation__seed504__cfg37c474a23075,hard_exclusion,504,0.8,,10,0.0,0.0,0.09418851532486101,9
hard_exclusion__main_evaluation__seed504__cfg984453f12660,hard_exclusion,504,0.2,,10,0.0,0.0,0.09221285310131169,10
hard_exclusion__main_evaluation__seed504__cfga6956031db7f,hard_exclusion,504,0.0,,10,0.0,0.0,0.0920855603241828,9
hard_exclusion__main_evaluation__seed504__cfgadd0fecc0c6e,hard_exclusion,504,0.4,,10,0.0,0.0,0.0967397477723669,9
hard_exclusion__main_evaluation__seed504__cfgc18e78bbd942,hard_exclusion,504,0.6,,10,0.0,0.0,0.09355460887734801,9
hard_exclusion__main_evaluation__seed505__cfg0d6dbbb8f4ed,hard_exclusion,505,0.0,,10,0.0,0.0,0.1038178512657999,12
hard_exclusion__main_evaluation__seed505__cfg15083e6a8948,hard_exclusion,505,0.2,,10,0.0,0.0,0.10685965305462482,12
hard_exclusion__main_evaluation__seed505__cfg54ccf1fb338e,hard_exclusion,505,0.6,,10,0.0,0.0,0.11034420861356795,11
hard_exclusion__main_evaluation__seed505__cfg9837400fb55e,hard_exclusion,505,0.8,,10,0.0,0.0,0.10991910416629924,11
