method_family,corruption_fraction,confidence,n,mean_targeted_abs_w_mean,std_targeted_abs_w_mean,median_targeted_abs_w_mean,mean_fraction_targeted_above_threshold,std_fraction_targeted_above_threshold,median_fraction_targeted_above_threshold,mean_non_targeted_abs_w_mean,std_non_targeted_abs_w_mean,median_non_targeted_abs_w_mean,mean_edge_count,std_edge_count,median_edge_count
hard_exclusion,0.0,,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0990231256024109,0.01055012931440895,0.1038178512657999,10.571428571428571,2.14919697074224,12.0
hard_exclusion,0.2,,7,0.0,0.0,0.0,0.0,0.0,0.0,0.09907142978631955,0.008462693648999679,0.10216054037046671,11.285714285714286,1.7043362064926935,12.0
hard_exclusion,0.4,,7,0.0,0.0,0.0,0.0,0.0,0.0,0.10082823862683273,0.008903015513832527,0.1053274893036007,10.857142857142858,1.7728105208558367,11.0
hard_exclusion,0.6,,7,0.0,0.0,0.0,0.0,0.0,0.0,0.10170683750475838,0.00715631224410977,0.10216897769220826,11.428571428571429,1.2724180205607036,12.0
hard_exclusion,0.8,,7,0.0,0.0,0.0,0.0,0.0,0.0,0.09809712305892306,0.009641490749745312,0.09418851532486101,11.142857142857142,1.3451854182690985,11.0
matched_l1,,,7,,,,,,,,,,11.285714285714286,1.889822365046136,11.0
prior_free,,,7,,,,,,,,,,11.285714285714286,1.889822365046136,11.0
soft_frobenius,0.0,0.0,7,0.048301067728577576,0.043139693934251114,0.035844876430862496,0.07142857142857142,0.07559289460184546,0.1,0.09540757702023073,0.009884253536981379,0.09737804529579461,11.285714285714286,1.889822365046136,11.0
soft_frobenius,0.0,0.25,7,0.03802911272370053,0.035496924351500814,0.030267653299162655,0.042857142857142864,0.05345224838248488,0.0,0.09555930856634279,0.01038476654047976,0.09740183926642179,11.142857142857142,1.7728105208558367,12.0
soft_frobenius,0.0,0.5,7,0.03092764684285768,0.02939788418442464,0.026214371830120663,0.028571428571428574,0.048795003647426664,0.0,0.09580157738586494,0.010625711612262886,0.09893505527178731,11.0,2.0,12.0
soft_frobenius,0.0,0.75,7,0.02600261612817037,0.024920958111958966,0.02314090994846447,0.014285714285714287,0.03779644730092273,0.0,0.09599046004860282,0.010775285770686302,0.10029972675559089,10.857142857142858,2.1157009420498154,12.0
soft_frobenius,0.0,1.0,7,0.02262894301898443,0.02173436500558943,0.021213044852404918,0.014285714285714287,0.03779644730092273,0.0,0.09609544848231141,0.010898581570465764,0.10002451739920482,10.857142857142858,2.410295378065479,12.0
