run_id,configuration_hash_full,configuration_hash_prefix,record_path,method_family,seed_value,seed_population,confidence,corruption_fraction,corruption_index,lambda_prior,matched_l1_lambda1,dagma_lambda1,parent_heldout_run_hash_full,fit_status,metric_status,graph_status,sampler_status,sid,shd,mmd,edge_count_from_thresholded_adjacency,continuous_w_path,thresholded_adjacency_path,true_adjacency_path,n_targeted_forbidden_edges,mean_abs_w_targeted_forbidden_edges,fraction_targeted_forbidden_above_threshold,mean_abs_w_non_targeted_edges
hard_exclusion__main_evaluation__seed501__cfg16d1765e8027,16d1765e80273a272864ab3643784a31c4aed1f57d0ba257da85b75fe5ef8774,16d1765e8027,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed501__cfg16d1765e8027.json,hard_exclusion,501,main_evaluation,,0.6,3,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,78.0,28.0,0.16618655155420378,11,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed501__cfg16d1765e8027/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed501__cfg16d1765e8027/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed501__cfg16d1765e8027/true_adjacency.npz,10,0.0,0.0,0.09778224298184188
hard_exclusion__main_evaluation__seed501__cfg48fb49c729c9,48fb49c729c9902c463c0e5e0ee98f6facf5353a8bb0719b65fa3ff278eef144,48fb49c729c9,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed501__cfg48fb49c729c9.json,hard_exclusion,501,main_evaluation,,0.4,2,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,76.0,27.0,0.16393147755874463,8,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed501__cfg48fb49c729c9/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed501__cfg48fb49c729c9/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed501__cfg48fb49c729c9/true_adjacency.npz,10,0.0,0.0,0.0861054400176101
hard_exclusion__main_evaluation__seed501__cfg63637ce11a59,63637ce11a59cb111458dd72d4db477a4b0a964f3996c9ba49674c85555c00bc,63637ce11a59,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed501__cfg63637ce11a59.json,hard_exclusion,501,main_evaluation,,0.2,1,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,69.0,25.0,0.1522869075151486,8,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed501__cfg63637ce11a59/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed501__cfg63637ce11a59/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed501__cfg63637ce11a59/true_adjacency.npz,10,0.0,0.0,0.08599661078240885
hard_exclusion__main_evaluation__seed501__cfgb1b657091ecc,b1b657091ecc9f342fcef5e437b9670c1da77b999af42d0080fbd02558df3c54,b1b657091ecc,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed501__cfgb1b657091ecc.json,hard_exclusion,501,main_evaluation,,0.8,4,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,69.0,29.0,0.16005489385686428,10,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed501__cfgb1b657091ecc/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed501__cfgb1b657091ecc/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed501__cfgb1b657091ecc/true_adjacency.npz,10,0.0,0.0,0.08566194109813235
hard_exclusion__main_evaluation__seed501__cfgd76e5f77baf0,d76e5f77baf0a11e5aa1b8c5c11554218163370b87e77fc914c7514260cddc98,d76e5f77baf0,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed501__cfgd76e5f77baf0.json,hard_exclusion,501,main_evaluation,,0.0,0,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,65.0,19.0,0.15035786114758856,8,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed501__cfgd76e5f77baf0/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed501__cfgd76e5f77baf0/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed501__cfgd76e5f77baf0/true_adjacency.npz,10,0.0,0.0,0.08518698253507523
hard_exclusion__main_evaluation__seed502__cfg01878a261f06,01878a261f06eb9b71adfa5dc81e46b2e36788dbbbac453fd595d8ef0ebe703f,01878a261f06,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed502__cfg01878a261f06.json,hard_exclusion,502,main_evaluation,,0.0,0,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,38.0,13.0,0.0774803549167116,12,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed502__cfg01878a261f06/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed502__cfg01878a261f06/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed502__cfg01878a261f06/true_adjacency.npz,10,0.0,0.0,0.10712683315059694
hard_exclusion__main_evaluation__seed502__cfg1a0b25f41682,1a0b25f41682c831fe5bcb681c97e18ddf2f2325a5ee61b2becffeba665d1967,1a0b25f41682,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed502__cfg1a0b25f41682.json,hard_exclusion,502,main_evaluation,,0.4,2,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,60.0,21.0,0.13734828581533037,12,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed502__cfg1a0b25f41682/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed502__cfg1a0b25f41682/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed502__cfg1a0b25f41682/true_adjacency.npz,10,0.0,0.0,0.10697353607595565
hard_exclusion__main_evaluation__seed502__cfg23e10daafdd2,23e10daafdd25fc232f17d67a5613496f72a74d347b8cbb5ba2c724ec6dab1d6,23e10daafdd2,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed502__cfg23e10daafdd2.json,hard_exclusion,502,main_evaluation,,0.6,3,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,50.0,19.0,0.07411603432380562,12,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed502__cfg23e10daafdd2/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed502__cfg23e10daafdd2/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed502__cfg23e10daafdd2/true_adjacency.npz,10,0.0,0.0,0.10717603523127488
hard_exclusion__main_evaluation__seed502__cfg7cde2ac19b9f,7cde2ac19b9f61fd87b02e8b9e923a9e51308081f27cb804e72c15127eeab4bf,7cde2ac19b9f,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed502__cfg7cde2ac19b9f.json,hard_exclusion,502,main_evaluation,,0.2,1,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,62.0,19.0,0.12752788885740332,12,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed502__cfg7cde2ac19b9f/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed502__cfg7cde2ac19b9f/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed502__cfg7cde2ac19b9f/true_adjacency.npz,10,0.0,0.0,0.10608932181466021
hard_exclusion__main_evaluation__seed502__cfgdf21f4e82c4b,df21f4e82c4b80bc2ab9418ab3c87c7f5ed0c7bcf74cc729136ee182b1cc6523,df21f4e82c4b,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed502__cfgdf21f4e82c4b.json,hard_exclusion,502,main_evaluation,,0.8,4,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,76.0,30.0,0.14730647965766214,11,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed502__cfgdf21f4e82c4b/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed502__cfgdf21f4e82c4b/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed502__cfgdf21f4e82c4b/true_adjacency.npz,10,0.0,0.0,0.0914053521164651
