group_label,method_family,x_metric,y_metric,n,pearson,spearman,kendall_tau_b
all,,sid,mmd,224,0.4921866131713488,0.3386107951386119,0.28844222695334065
all,,shd,mmd,224,0.5821120000089691,0.5422460251710348,0.396257637965167
all,,edge_count_from_thresholded_adjacency,mmd,224,-0.27699601879679525,-0.2276241336580089,-0.169302390881542
all,,sid,shd,224,0.7703294800594236,0.6255399628259248,0.47667143788666994
method_family:hard_exclusion,hard_exclusion,sid,mmd,35,0.5972694599230289,0.5250176481839901,0.3610299136884542
method_family:hard_exclusion,hard_exclusion,shd,mmd,35,0.5470459827809997,0.4966990536273148,0.3589268591944588
method_family:hard_exclusion,hard_exclusion,edge_count_from_thresholded_adjacency,mmd,35,-0.18607656630698588,-0.22170879498085488,-0.18611211069686848
method_family:hard_exclusion,hard_exclusion,sid,shd,35,0.8013183331894729,0.6977101909269302,0.5280099994166847
method_family:matched_l1,matched_l1,sid,mmd,7,0.5077735694151594,0.28829998806257884,0.29277002188455997
method_family:matched_l1,matched_l1,shd,mmd,7,0.6862218642956129,0.6428571428571429,0.5238095238095238
method_family:matched_l1,matched_l1,edge_count_from_thresholded_adjacency,mmd,7,-0.1508370422772232,-0.036369648372665396,-0.05006261743217589
method_family:matched_l1,matched_l1,sid,shd,7,0.7678162499909751,0.5946187253790689,0.4879500364742666
method_family:prior_free,prior_free,sid,mmd,7,0.5077735694151594,0.28829998806257884,0.29277002188455997
method_family:prior_free,prior_free,shd,mmd,7,0.6862218642956129,0.6428571428571429,0.5238095238095238
method_family:prior_free,prior_free,edge_count_from_thresholded_adjacency,mmd,7,-0.1508370422772232,-0.036369648372665396,-0.05006261743217589
method_family:prior_free,prior_free,sid,shd,7,0.7678162499909751,0.5946187253790689,0.4879500364742666
method_family:soft_frobenius,soft_frobenius,sid,mmd,175,0.47475181484802326,0.29532269576643916,0.27288830845369083
method_family:soft_frobenius,soft_frobenius,shd,mmd,175,0.6227376522505733,0.5532274452029202,0.4153446943383879
method_family:soft_frobenius,soft_frobenius,edge_count_from_thresholded_adjacency,mmd,175,-0.31156864800699885,-0.2389117959815131,-0.17563328225626193
method_family:soft_frobenius,soft_frobenius,sid,shd,175,0.7761910975828173,0.6218381703781755,0.4753205809744729
