label_a,label_b,metric,diff_convention,n_pairs,mean_a,mean_b,mean_diff,median_diff,bootstrap_ci_low,bootstrap_ci_high,wins_a_lower,wins_b_lower,ties,sign_test_p_two_sided,bh_q_value
soft_frobenius_clean_conf1,prior_free,sid,a - b,7,65.0,65.71428571428571,-0.7142857142857143,0.0,-3.857142857142857,1.7142857142857142,1,1,5,1.0,1.0
soft_frobenius_clean_conf1,prior_free,shd,a - b,7,20.428571428571427,20.857142857142858,-0.42857142857142855,0.0,-1.4285714285714286,0.42857142857142855,3,2,2,1.0,1.0
soft_frobenius_clean_conf1,prior_free,mmd,a - b,7,0.1201626538113835,0.12082792031092161,-0.000665266499538109,-0.00016094902056160154,-0.0014631258555205587,-2.951063052549959e-05,4,3,0,1.0,1.0
soft_frobenius_clean_conf1,prior_free,edge_count_from_thresholded_adjacency,a - b,7,10.857142857142858,11.285714285714286,-0.42857142857142855,0.0,-1.4285714285714286,0.42857142857142855,3,2,2,1.0,1.0
soft_frobenius_clean_conf1,matched_l1,sid,a - b,7,65.0,65.71428571428571,-0.7142857142857143,0.0,-3.857142857142857,1.7142857142857142,1,1,5,1.0,1.0
soft_frobenius_clean_conf1,matched_l1,shd,a - b,7,20.428571428571427,20.857142857142858,-0.42857142857142855,0.0,-1.4285714285714286,0.42857142857142855,3,2,2,1.0,1.0
soft_frobenius_clean_conf1,matched_l1,mmd,a - b,7,0.1201626538113835,0.12082792031092161,-0.000665266499538109,-0.00016094902056160154,-0.0014631258555205587,-2.951063052549959e-05,4,3,0,1.0,1.0
soft_frobenius_clean_conf1,matched_l1,edge_count_from_thresholded_adjacency,a - b,7,10.857142857142858,11.285714285714286,-0.42857142857142855,0.0,-1.4285714285714286,0.42857142857142855,3,2,2,1.0,1.0
soft_frobenius_clean_conf1,hard_exclusion_clean,sid,a - b,7,65.0,62.857142857142854,2.142857142857143,0.0,-0.2857142857142857,5.714285714285714,1,2,4,1.0,1.0
soft_frobenius_clean_conf1,hard_exclusion_clean,shd,a - b,7,20.428571428571427,19.571428571428573,0.8571428571428571,0.0,-0.8571428571428571,2.857142857142857,2,2,3,1.0,1.0
soft_frobenius_clean_conf1,hard_exclusion_clean,mmd,a - b,7,0.1201626538113835,0.11431652512139236,0.005846128689991134,2.0047288918662032e-05,-0.0033766743752828366,0.016398755299649258,1,6,0,0.125,1.0
soft_frobenius_clean_conf1,hard_exclusion_clean,edge_count_from_thresholded_adjacency,a - b,7,10.857142857142858,10.571428571428571,0.2857142857142857,0.0,0.0,0.7142857142857143,0,2,5,0.5,1.0
matched_l1,prior_free,sid,a - b,7,65.71428571428571,65.71428571428571,0.0,0.0,0.0,0.0,0,0,7,,
matched_l1,prior_free,shd,a - b,7,20.857142857142858,20.857142857142858,0.0,0.0,0.0,0.0,0,0,7,,
matched_l1,prior_free,mmd,a - b,7,0.12082792031092161,0.12082792031092161,0.0,0.0,0.0,0.0,0,0,7,,
matched_l1,prior_free,edge_count_from_thresholded_adjacency,a - b,7,11.285714285714286,11.285714285714286,0.0,0.0,0.0,0.0,0,0,7,,
hard_exclusion_clean,prior_free,sid,a - b,7,62.857142857142854,65.71428571428571,-2.857142857142857,0.0,-7.285714285714286,1.4285714285714286,2,1,4,1.0,1.0
hard_exclusion_clean,prior_free,shd,a - b,7,19.571428571428573,20.857142857142858,-1.2857142857142858,-1.0,-4.142857142857143,1.0,4,2,1,0.6875,1.0
hard_exclusion_clean,prior_free,mmd,a - b,7,0.11431652512139236,0.12082792031092161,-0.006511395189529243,-0.0003150455949253589,-0.01778377501485553,0.0029203508472154488,5,2,0,0.453125,1.0
hard_exclusion_clean,prior_free,edge_count_from_thresholded_adjacency,a - b,7,10.571428571428571,11.285714285714286,-0.7142857142857143,-1.0,-1.5714285714285714,0.14285714285714285,4,1,2,0.375,1.0
