condition_label,method_family,corruption_fraction,confidence,metric,n,mean,std,median,min,max
prior_free,prior_free,,,sid,7,66.14285714285714,12.535663410560174,66.0,49.0,80.0
prior_free,prior_free,,,shd,7,24.0,5.773502691896257,27.0,15.0,30.0
prior_free,prior_free,,,mmd,7,0.11255254596709595,0.027194398221777705,0.10282244353846574,0.08278547174070164,0.16388690707561904
prior_free,prior_free,,,edge_count_from_thresholded_adjacency,7,14.714285714285714,2.2886885410853175,14.0,12.0,18.0
matched_l1,matched_l1,,,sid,7,67.57142857142857,13.476611132589959,75.0,48.0,81.0
matched_l1,matched_l1,,,shd,7,24.142857142857142,5.429197958832453,26.0,15.0,29.0
matched_l1,matched_l1,,,mmd,7,0.11844401972427125,0.023055050615865724,0.10703643285789892,0.1001522864381907,0.1644540986006024
matched_l1,matched_l1,,,edge_count_from_thresholded_adjacency,7,14.285714285714286,2.4299715851758235,13.0,12.0,18.0
soft_frobenius_clean_conf1,soft_frobenius,0.0,1.0,sid,7,69.71428571428571,13.363062095621219,75.0,50.0,85.0
soft_frobenius_clean_conf1,soft_frobenius,0.0,1.0,shd,7,23.714285714285715,5.55920515044749,27.0,16.0,28.0
soft_frobenius_clean_conf1,soft_frobenius,0.0,1.0,mmd,7,0.11368536126029237,0.025615815498877523,0.1024646394337985,0.09353607547295872,0.16365093056612212
soft_frobenius_clean_conf1,soft_frobenius,0.0,1.0,edge_count_from_thresholded_adjacency,7,14.428571428571429,2.819996622760558,13.0,11.0,18.0
hard_exclusion_clean,hard_exclusion,0.0,,sid,7,65.0,15.275252316519467,74.0,38.0,78.0
hard_exclusion_clean,hard_exclusion,0.0,,shd,7,22.428571428571427,7.020378500174637,21.0,13.0,33.0
hard_exclusion_clean,hard_exclusion,0.0,,mmd,7,0.1021976480836965,0.02527737751159345,0.09789171912574243,0.06008397305657518,0.13375186087770308
hard_exclusion_clean,hard_exclusion,0.0,,edge_count_from_thresholded_adjacency,7,13.428571428571429,2.5727509827124,13.0,9.0,17.0
