run_id,method_family,seed_value,corruption_fraction,confidence,n_targeted_forbidden_edges,mean_abs_w_targeted_forbidden_edges,fraction_targeted_forbidden_above_threshold,mean_abs_w_non_targeted_edges,edge_count_from_thresholded_adjacency
hard_exclusion__main_evaluation__seed501__cfg40888108099d,hard_exclusion,501,0.4,,10,0.0,0.0,0.11249558607708092,11
hard_exclusion__main_evaluation__seed501__cfg4ded753ad0d0,hard_exclusion,501,0.0,,10,0.0,0.0,0.09949178417003339,9
hard_exclusion__main_evaluation__seed501__cfga1a67b121811,hard_exclusion,501,0.2,,10,0.0,0.0,0.10404832003061933,11
hard_exclusion__main_evaluation__seed501__cfga5f254594059,hard_exclusion,501,0.6,,10,0.0,0.0,0.13619362216740433,13
hard_exclusion__main_evaluation__seed501__cfgce0b9f75d46a,hard_exclusion,501,0.8,,10,0.0,0.0,0.1016343307467807,11
hard_exclusion__main_evaluation__seed502__cfg142974662c17,hard_exclusion,502,0.6,,10,0.0,0.0,0.12548787643791112,12
hard_exclusion__main_evaluation__seed502__cfg379e0f4e9c35,hard_exclusion,502,0.4,,10,0.0,0.0,0.1327062519858831,14
hard_exclusion__main_evaluation__seed502__cfg43cfd2c4099c,hard_exclusion,502,0.8,,10,0.0,0.0,0.13273180769229312,14
hard_exclusion__main_evaluation__seed502__cfg7730d4f1a9b9,hard_exclusion,502,0.0,,10,0.0,0.0,0.12499547876473446,12
hard_exclusion__main_evaluation__seed502__cfg98fce0591832,hard_exclusion,502,0.2,,10,0.0,0.0,0.12537131980571228,12
hard_exclusion__main_evaluation__seed503__cfg55596cbb73a5,hard_exclusion,503,0.8,,10,0.0,0.0,0.1691248851729354,19
hard_exclusion__main_evaluation__seed503__cfgc464c2381eeb,hard_exclusion,503,0.4,,10,0.0,0.0,0.15177954948963562,16
hard_exclusion__main_evaluation__seed503__cfgc4d398f659a2,hard_exclusion,503,0.2,,10,0.0,0.0,0.15166169624011902,15
hard_exclusion__main_evaluation__seed503__cfgee38ada5caf3,hard_exclusion,503,0.6,,10,0.0,0.0,0.14942895372090903,17
hard_exclusion__main_evaluation__seed503__cfgf9e8991b02f5,hard_exclusion,503,0.0,,10,0.0,0.0,0.1511880937256159,15
hard_exclusion__main_evaluation__seed504__cfg025f7079f246,hard_exclusion,504,0.4,,10,0.0,0.0,0.12825282132901325,13
hard_exclusion__main_evaluation__seed504__cfg4dfe5a243a4b,hard_exclusion,504,0.8,,10,0.0,0.0,0.12682721257672566,13
hard_exclusion__main_evaluation__seed504__cfg5a74032cff8b,hard_exclusion,504,0.2,,10,0.0,0.0,0.11552193618696227,12
hard_exclusion__main_evaluation__seed504__cfg6c422e4da7bb,hard_exclusion,504,0.0,,10,0.0,0.0,0.12047004046684484,13
hard_exclusion__main_evaluation__seed504__cfg770fa1db2a71,hard_exclusion,504,0.6,,10,0.0,0.0,0.12826156428294547,13
hard_exclusion__main_evaluation__seed505__cfg58d1ff2fe48b,hard_exclusion,505,0.8,,10,0.0,0.0,0.1585648007201412,17
hard_exclusion__main_evaluation__seed505__cfg9d825b156841,hard_exclusion,505,0.0,,10,0.0,0.0,0.16221560698593113,15
hard_exclusion__main_evaluation__seed505__cfgc37785f3447d,hard_exclusion,505,0.6,,10,0.0,0.0,0.15926602138450932,16
hard_exclusion__main_evaluation__seed505__cfgd1eef9c2aae1,hard_exclusion,505,0.2,,10,0.0,0.0,0.15844727721181937,16
hard_exclusion__main_evaluation__seed505__cfgdcc92b1dcabf,hard_exclusion,505,0.4,,10,0.0,0.0,0.15845090106714543,16
hard_exclusion__main_evaluation__seed506__cfg2e3a88face02,hard_exclusion,506,0.0,,10,0.0,0.0,0.13426793188941405,13
hard_exclusion__main_evaluation__seed506__cfg6d060831b779,hard_exclusion,506,0.2,,10,0.0,0.0,0.13073725704943231,14
hard_exclusion__main_evaluation__seed506__cfg841ef3ba555d,hard_exclusion,506,0.6,,10,0.0,0.0,0.12955560226533436,13
hard_exclusion__main_evaluation__seed506__cfga4a408308f7d,hard_exclusion,506,0.4,,10,0.0,0.0,0.132523287143486,15
hard_exclusion__main_evaluation__seed506__cfge943be8ed990,hard_exclusion,506,0.8,,10,0.0,0.0,0.1387237065270877,17
hard_exclusion__main_evaluation__seed507__cfg1d233614c747,hard_exclusion,507,0.0,,10,0.0,0.0,0.14042475277094954,17
hard_exclusion__main_evaluation__seed507__cfg2e5927051b37,hard_exclusion,507,0.8,,10,0.0,0.0,0.14282801803343662,18
hard_exclusion__main_evaluation__seed507__cfg339731e95160,hard_exclusion,507,0.6,,10,0.0,0.0,0.1421977633931705,18
hard_exclusion__main_evaluation__seed507__cfgcedeb7eb98c3,hard_exclusion,507,0.2,,10,0.0,0.0,0.14530768913298653,19
hard_exclusion__main_evaluation__seed507__cfgde71e8452101,hard_exclusion,507,0.4,,10,0.0,0.0,0.1421973306487933,18
matched_l1__main_evaluation__seed501__cfgdce948e9f7b0,matched_l1,501,,,,,,,12
matched_l1__main_evaluation__seed502__cfg2b27af973c2a,matched_l1,502,,,,,,,12
matched_l1__main_evaluation__seed503__cfg7976330c36b7,matched_l1,503,,,,,,,17
matched_l1__main_evaluation__seed504__cfge2fda3e87218,matched_l1,504,,,,,,,13
matched_l1__main_evaluation__seed505__cfgf87c29dd317b,matched_l1,505,,,,,,,15
matched_l1__main_evaluation__seed506__cfg8bb3752f6dce,matched_l1,506,,,,,,,13
matched_l1__main_evaluation__seed507__cfgf97549f68764,matched_l1,507,,,,,,,18
prior_free__main_evaluation__seed501__cfga9ce777e4ab5,prior_free,501,,,,,,,13
prior_free__main_evaluation__seed502__cfgc094dd1086bb,prior_free,502,,,,,,,12
prior_free__main_evaluation__seed503__cfgc2799a5c5333,prior_free,503,,,,,,,17
prior_free__main_evaluation__seed504__cfgda73e2e0875c,prior_free,504,,,,,,,13
prior_free__main_evaluation__seed505__cfgfb8f8676d49a,prior_free,505,,,,,,,16
prior_free__main_evaluation__seed506__cfgc53a9279f17c,prior_free,506,,,,,,,14
prior_free__main_evaluation__seed507__cfgcc55e68b2cc0,prior_free,507,,,,,,,18
soft_frobenius__main_evaluation__seed501__cfg02ed9884f564,soft_frobenius,501,0.0,1.0,10,0.06586921134046154,0.1,0.10033132261042019,11
soft_frobenius__main_evaluation__seed501__cfg0724396c8efe,soft_frobenius,501,0.0,0.5,10,0.09719435045198771,0.1,0.09872410352171804,11
soft_frobenius__main_evaluation__seed501__cfg1ebc6b5bbc50,soft_frobenius,501,0.2,0.75,10,0.05777750196799638,0.1,0.10124135517095749,12
soft_frobenius__main_evaluation__seed501__cfg1f4dceb0544b,soft_frobenius,501,0.4,0.75,10,0.08416186862275545,0.1,0.0978976563563859,11
soft_frobenius__main_evaluation__seed501__cfg1fcf04f10bd4,soft_frobenius,501,0.8,0.0,10,0.1519625087893647,0.1,0.11523382667511668,13
soft_frobenius__main_evaluation__seed501__cfg2d514dec73ca,soft_frobenius,501,0.2,0.25,10,0.09860046918459622,0.1,0.10317124563144646,11
soft_frobenius__main_evaluation__seed501__cfg3b67e9d80b21,soft_frobenius,501,0.4,0.25,10,0.13719816162619933,0.2,0.09799154672294094,11
soft_frobenius__main_evaluation__seed501__cfg49edbc4d94ba,soft_frobenius,501,0.0,0.75,10,0.07861993286030519,0.1,0.09967522569661694,11
soft_frobenius__main_evaluation__seed501__cfg671d720bd330,soft_frobenius,501,0.6,0.5,10,0.025667079729334973,0.0,0.13116108571537116,12
soft_frobenius__main_evaluation__seed501__cfg6a579866cf7e,soft_frobenius,501,0.4,0.5,10,0.10340841759955233,0.2,0.09747953527819758,12
soft_frobenius__main_evaluation__seed501__cfg71539f58c48f,soft_frobenius,501,0.2,0.5,10,0.07159811698154296,0.1,0.10177045448364667,12
soft_frobenius__main_evaluation__seed501__cfg7e6a512761c7,soft_frobenius,501,0.6,0.0,10,0.040950781202882966,0.1,0.12911029262342688,13
soft_frobenius__main_evaluation__seed501__cfg8fc58f5a9ad5,soft_frobenius,501,0.2,0.0,10,0.18488122509044397,0.2,0.11111898713748176,13
soft_frobenius__main_evaluation__seed501__cfg99f3acae9bcb,soft_frobenius,501,0.0,0.0,10,0.22578943311999625,0.3,0.10600546113378773,13
soft_frobenius__main_evaluation__seed501__cfg9f588cae96af,soft_frobenius,501,0.8,0.75,10,0.042658738247932856,0.1,0.10331773000616207,13
soft_frobenius__main_evaluation__seed501__cfga4f4bcf8b1d6,soft_frobenius,501,0.0,0.25,10,0.13159036382342243,0.2,0.09786376572963507,11
soft_frobenius__main_evaluation__seed501__cfgb0192b8bc02f,soft_frobenius,501,0.8,0.25,10,0.07504786321402207,0.1,0.10609537037766459,12
soft_frobenius__main_evaluation__seed501__cfgb775795819bc,soft_frobenius,501,0.4,1.0,10,0.0708916188576017,0.1,0.09820551033958606,11
soft_frobenius__main_evaluation__seed501__cfgbc227fc74061,soft_frobenius,501,0.6,0.25,10,0.03304987227833621,0.1,0.12889664189549033,13
soft_frobenius__main_evaluation__seed501__cfgdaba6b70da57,soft_frobenius,501,0.8,0.5,10,0.05411748385955813,0.1,0.10376097575690083,13
soft_frobenius__main_evaluation__seed501__cfgdccb4f70adc3,soft_frobenius,501,0.6,0.75,10,0.02095421960090025,0.0,0.13260765556416568,12
soft_frobenius__main_evaluation__seed501__cfgeaff893024f7,soft_frobenius,501,0.4,0.0,10,0.23081404332398167,0.3,0.10537738485828956,13
soft_frobenius__main_evaluation__seed501__cfgec5338b4b1a8,soft_frobenius,501,0.8,1.0,10,0.0354189514445644,0.1,0.10341318311769246,13
soft_frobenius__main_evaluation__seed501__cfgece5b1f44226,soft_frobenius,501,0.6,1.0,10,0.01767664631621482,0.0,0.13359593358569105,12
soft_frobenius__main_evaluation__seed501__cfgedf1f3cc03eb,soft_frobenius,501,0.2,1.0,10,0.048350817183557916,0.1,0.10089228892360427,12
soft_frobenius__main_evaluation__seed502__cfg0e2c937a8d2a,soft_frobenius,502,0.2,0.5,10,0.0564959683365539,0.1,0.117023540739983,12
soft_frobenius__main_evaluation__seed502__cfg15a2dac31335,soft_frobenius,502,0.0,0.25,10,0.07969252410281613,0.1,0.1143707895413206,12
soft_frobenius__main_evaluation__seed502__cfg28326ca388fd,soft_frobenius,502,0.4,0.25,10,0.06114417785142741,0.1,0.11639251143725607,12
soft_frobenius__main_evaluation__seed502__cfg388e4e9f000a,soft_frobenius,502,0.6,0.25,10,0.11062457039897504,0.1,0.11066645682858298,11
soft_frobenius__main_evaluation__seed502__cfg5a53e3535285,soft_frobenius,502,0.4,0.75,10,0.02781750196648581,0.0,0.12017784971170109,12
soft_frobenius__main_evaluation__seed502__cfg618559199f6e,soft_frobenius,502,0.4,1.0,10,0.021801811998618435,0.0,0.1208815874100356,12
soft_frobenius__main_evaluation__seed502__cfg659330e6044b,soft_frobenius,502,0.4,0.0,10,0.09363662328344133,0.1,0.11361988701668277,12
soft_frobenius__main_evaluation__seed502__cfg6664860ad281,soft_frobenius,502,0.0,1.0,10,0.03912654581518,0.1,0.11881357627308667,13
soft_frobenius__main_evaluation__seed502__cfg6d0b03d20a80,soft_frobenius,502,0.0,0.0,10,0.08823165977713195,0.1,0.11429550745497145,12
soft_frobenius__main_evaluation__seed502__cfg78e0c07b4091,soft_frobenius,502,0.0,0.5,10,0.06023718406933075,0.1,0.11644540566700953,12
soft_frobenius__main_evaluation__seed502__cfg7eac46717095,soft_frobenius,502,0.6,0.0,10,0.1574089507088622,0.2,0.10564834608850518,12
soft_frobenius__main_evaluation__seed502__cfg8b824d3aaba7,soft_frobenius,502,0.2,0.25,10,0.07522133709593223,0.1,0.114981340396168,12
soft_frobenius__main_evaluation__seed502__cfga1f87a0d30c4,soft_frobenius,502,0.0,0.75,10,0.04739549964088297,0.1,0.11788249086443199,12
soft_frobenius__main_evaluation__seed502__cfgb1b94f5ea23c,soft_frobenius,502,0.8,0.5,10,0.24810443556612624,0.5,0.09007435957160095,14
soft_frobenius__main_evaluation__seed502__cfgb9434cbcd983,soft_frobenius,502,0.8,0.0,10,0.4288235838098994,0.5,0.07172151695087553,12
soft_frobenius__main_evaluation__seed502__cfgb98ff62b2de3,soft_frobenius,502,0.2,0.0,10,0.08275603609149154,0.1,0.11497996041567651,12
soft_frobenius__main_evaluation__seed502__cfgca29e30770a2,soft_frobenius,502,0.8,0.25,10,0.3200132075486467,0.5,0.08015996992978046,13
soft_frobenius__main_evaluation__seed502__cfgcb1c7ac76e48,soft_frobenius,502,0.2,1.0,10,0.03629902270784255,0.1,0.11932172779695398,13
soft_frobenius__main_evaluation__seed502__cfgcc668c83e10c,soft_frobenius,502,0.8,0.75,10,0.20397669334535573,0.3,0.09619727295056942,12
soft_frobenius__main_evaluation__seed502__cfgd3896eb483d1,soft_frobenius,502,0.4,0.5,10,0.03827635804918214,0.1,0.11899713027651257,13
soft_frobenius__main_evaluation__seed502__cfgd589aa53d1fa,soft_frobenius,502,0.2,0.75,10,0.044166554557055863,0.1,0.11842956341634321,12
soft_frobenius__main_evaluation__seed502__cfgda7a6347b93f,soft_frobenius,502,0.6,0.75,10,0.03607751307919109,0.0,0.12027145650872825,12
soft_frobenius__main_evaluation__seed502__cfgec8de02dec1e,soft_frobenius,502,0.6,1.0,10,0.028932141424024428,0.0,0.12116038769890665,12
soft_frobenius__main_evaluation__seed502__cfgf176d9a865d8,soft_frobenius,502,0.6,0.5,10,0.07898528227733023,0.1,0.11433751205067141,12
soft_frobenius__main_evaluation__seed502__cfgf9936c560181,soft_frobenius,502,0.8,1.0,10,0.17513885499899826,0.2,0.10013219289572395,12
soft_frobenius__main_evaluation__seed503__cfg04a58e58e6f2,soft_frobenius,503,0.6,0.75,10,0.11203451687546136,0.2,0.13918511342025022,17
soft_frobenius__main_evaluation__seed503__cfg06163b0e694b,soft_frobenius,503,0.6,0.25,10,0.16846417107386066,0.2,0.13598506370982003,17
soft_frobenius__main_evaluation__seed503__cfg0e0f8b605674,soft_frobenius,503,0.4,0.75,10,0.01106913354609565,0.0,0.16334643784642872,16
soft_frobenius__main_evaluation__seed503__cfg13db0cdf33e7,soft_frobenius,503,0.6,0.0,10,0.2150990310080248,0.2,0.13706333756739425,17
soft_frobenius__main_evaluation__seed503__cfg1eda42bfd4b4,soft_frobenius,503,0.2,0.25,10,0.10814824372544077,0.2,0.14928888833273202,18
soft_frobenius__main_evaluation__seed503__cfg216ad239bbc8,soft_frobenius,503,0.0,0.0,10,0.05048807143324787,0.1,0.15763970751424136,17
soft_frobenius__main_evaluation__seed503__cfg27d1a6eb3c07,soft_frobenius,503,0.2,1.0,10,0.03323983894059283,0.1,0.1588975014714645,18
soft_frobenius__main_evaluation__seed503__cfg2ae62d9e7497,soft_frobenius,503,0.4,0.5,10,0.014583032171740984,0.0,0.16281293842932015,16
soft_frobenius__main_evaluation__seed503__cfg581d64301f2b,soft_frobenius,503,0.0,0.75,10,0.0270605896120146,0.0,0.15999456524699177,17
soft_frobenius__main_evaluation__seed503__cfg649c85000bb0,soft_frobenius,503,0.4,1.0,10,0.008970182168348127,0.0,0.16366190125965732,16
soft_frobenius__main_evaluation__seed503__cfg6a267e6de92a,soft_frobenius,503,0.2,0.0,10,0.1264769054272175,0.2,0.14814110326499516,17
soft_frobenius__main_evaluation__seed503__cfg6ad1d57d7ae8,soft_frobenius,503,0.8,0.75,10,0.11077741084530199,0.2,0.13927690073073837,18
soft_frobenius__main_evaluation__seed503__cfg77279261d5b9,soft_frobenius,503,0.4,0.0,10,0.04073932640670514,0.1,0.15885830064255924,17
soft_frobenius__main_evaluation__seed503__cfg78dff58a00c5,soft_frobenius,503,0.8,0.5,10,0.12743206394866394,0.2,0.1386531688909445,18
soft_frobenius__main_evaluation__seed503__cfg7e55da83d872,soft_frobenius,503,0.6,1.0,10,0.09581597619533423,0.2,0.1411459716658363,17
soft_frobenius__main_evaluation__seed503__cfg8645c40c53f6,soft_frobenius,503,0.6,0.5,10,0.1274557166462057,0.2,0.13874929319990378,17
