run_id,configuration_hash_full,configuration_hash_prefix,record_path,method_family,seed_value,seed_population,confidence,corruption_fraction,corruption_index,lambda_prior,matched_l1_lambda1,dagma_lambda1,parent_heldout_run_hash_full,fit_status,metric_status,graph_status,sampler_status,sid,shd,mmd,edge_count_from_thresholded_adjacency,continuous_w_path,thresholded_adjacency_path,true_adjacency_path,n_targeted_forbidden_edges,mean_abs_w_targeted_forbidden_edges,fraction_targeted_forbidden_above_threshold,mean_abs_w_non_targeted_edges
hard_exclusion__main_evaluation__seed501__cfg40888108099d,40888108099d0af1dc264d6140c2236e91f95127fac2caad0c9714c2ee7d9b08,40888108099d,results/main_study/864fe6722256/records/hard_exclusion__main_evaluation__seed501__cfg40888108099d.json,hard_exclusion,501,main_evaluation,,0.4,2,,,0.05,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,83.0,30.0,0.16407377335592926,11,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed501__cfg40888108099d/continuous_w.npz,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed501__cfg40888108099d/thresholded_adjacency.npz,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed501__cfg40888108099d/true_adjacency.npz,10,0.0,0.0,0.11249558607708092
hard_exclusion__main_evaluation__seed501__cfg4ded753ad0d0,4ded753ad0d0c25010de23795a36e47715084b8c134dc3f6df19d391cacb0350,4ded753ad0d0,results/main_study/864fe6722256/records/hard_exclusion__main_evaluation__seed501__cfg4ded753ad0d0.json,hard_exclusion,501,main_evaluation,,0.0,0,,,0.05,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,63.0,20.0,0.13375186087770308,9,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed501__cfg4ded753ad0d0/continuous_w.npz,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed501__cfg4ded753ad0d0/thresholded_adjacency.npz,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed501__cfg4ded753ad0d0/true_adjacency.npz,10,0.0,0.0,0.09949178417003339
hard_exclusion__main_evaluation__seed501__cfga1a67b121811,a1a67b121811a8560ace88590b872147f2461837d05eb8df5597a9280a4de90e,a1a67b121811,results/main_study/864fe6722256/records/hard_exclusion__main_evaluation__seed501__cfga1a67b121811.json,hard_exclusion,501,main_evaluation,,0.2,1,,,0.05,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,74.0,24.0,0.14821623995992314,11,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed501__cfga1a67b121811/continuous_w.npz,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed501__cfga1a67b121811/thresholded_adjacency.npz,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed501__cfga1a67b121811/true_adjacency.npz,10,0.0,0.0,0.10404832003061933
hard_exclusion__main_evaluation__seed501__cfga5f254594059,a5f25459405982453c54033663698f37b8afc53891a1a06294aa9ba52d63bd45,a5f254594059,results/main_study/864fe6722256/records/hard_exclusion__main_evaluation__seed501__cfga5f254594059.json,hard_exclusion,501,main_evaluation,,0.6,3,,,0.05,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,78.0,30.0,0.16386023041396872,13,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed501__cfga5f254594059/continuous_w.npz,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed501__cfga5f254594059/thresholded_adjacency.npz,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed501__cfga5f254594059/true_adjacency.npz,10,0.0,0.0,0.13619362216740433
hard_exclusion__main_evaluation__seed501__cfgce0b9f75d46a,ce0b9f75d46ae5201a13e3b3fdff42bdc0e87dda73dfcd70602de1c896579cb2,ce0b9f75d46a,results/main_study/864fe6722256/records/hard_exclusion__main_evaluation__seed501__cfgce0b9f75d46a.json,hard_exclusion,501,main_evaluation,,0.8,4,,,0.05,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,68.0,28.0,0.1610643866416489,11,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed501__cfgce0b9f75d46a/continuous_w.npz,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed501__cfgce0b9f75d46a/thresholded_adjacency.npz,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed501__cfgce0b9f75d46a/true_adjacency.npz,10,0.0,0.0,0.1016343307467807
hard_exclusion__main_evaluation__seed502__cfg142974662c17,142974662c171ed945a49ef186bb4f6039b6ce4544f7fdcf5bd1df40a5045877,142974662c17,results/main_study/864fe6722256/records/hard_exclusion__main_evaluation__seed502__cfg142974662c17.json,hard_exclusion,502,main_evaluation,,0.6,3,,,0.05,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,50.0,19.0,0.06489166404178556,12,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed502__cfg142974662c17/continuous_w.npz,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed502__cfg142974662c17/thresholded_adjacency.npz,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed502__cfg142974662c17/true_adjacency.npz,10,0.0,0.0,0.12548787643791112
hard_exclusion__main_evaluation__seed502__cfg379e0f4e9c35,379e0f4e9c35905f84f0dd2d371fbf6e79c29ac484aec7a09a803b5d13fdfcd6,379e0f4e9c35,results/main_study/864fe6722256/records/hard_exclusion__main_evaluation__seed502__cfg379e0f4e9c35.json,hard_exclusion,502,main_evaluation,,0.4,2,,,0.05,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,71.0,25.0,0.13669544444054765,14,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed502__cfg379e0f4e9c35/continuous_w.npz,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed502__cfg379e0f4e9c35/thresholded_adjacency.npz,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed502__cfg379e0f4e9c35/true_adjacency.npz,10,0.0,0.0,0.1327062519858831
hard_exclusion__main_evaluation__seed502__cfg43cfd2c4099c,43cfd2c4099cab3d395a7f871c381ed15172dcdccbf1e8678db4ab42fa942621,43cfd2c4099c,results/main_study/864fe6722256/records/hard_exclusion__main_evaluation__seed502__cfg43cfd2c4099c.json,hard_exclusion,502,main_evaluation,,0.8,4,,,0.05,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,82.0,31.0,0.14889240362036285,14,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed502__cfg43cfd2c4099c/continuous_w.npz,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed502__cfg43cfd2c4099c/thresholded_adjacency.npz,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed502__cfg43cfd2c4099c/true_adjacency.npz,10,0.0,0.0,0.13273180769229312
hard_exclusion__main_evaluation__seed502__cfg7730d4f1a9b9,7730d4f1a9b93e2b24a115da4fcaf8fa161dd6341d4a985c387bc9f21a87e62f,7730d4f1a9b9,results/main_study/864fe6722256/records/hard_exclusion__main_evaluation__seed502__cfg7730d4f1a9b9.json,hard_exclusion,502,main_evaluation,,0.0,0,,,0.05,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,38.0,13.0,0.06008397305657518,12,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed502__cfg7730d4f1a9b9/continuous_w.npz,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed502__cfg7730d4f1a9b9/thresholded_adjacency.npz,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed502__cfg7730d4f1a9b9/true_adjacency.npz,10,0.0,0.0,0.12499547876473446
hard_exclusion__main_evaluation__seed502__cfg98fce0591832,98fce05918329a735db8f97232e1c7d2a8381376c2ccd3c438aaaaff2a8d782c,98fce0591832,results/main_study/864fe6722256/records/hard_exclusion__main_evaluation__seed502__cfg98fce0591832.json,hard_exclusion,502,main_evaluation,,0.2,1,,,0.05,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,62.0,19.0,0.12469150498276212,12,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed502__cfg98fce0591832/continuous_w.npz,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed502__cfg98fce0591832/thresholded_adjacency.npz,results/main_study/864fe6722256/artefacts/hard_exclusion__main_evaluation__seed502__cfg98fce0591832/true_adjacency.npz,10,0.0,0.0,0.12537131980571228
