group_label,method_family,x_metric,y_metric,n,pearson,spearman,kendall_tau_b
all,,sid,mmd,224,0.5005613943872745,0.5491005045517856,0.36809280665618227
all,,shd,mmd,224,0.33980911127591873,0.36181173570519376,0.24602395557497286
all,,edge_count_from_thresholded_adjacency,mmd,224,-0.3909594039337556,-0.24764915635239282,-0.19397806238237927
all,,sid,shd,224,0.8666384007413708,0.7701233796565929,0.5649130411300644
method_family:hard_exclusion,hard_exclusion,sid,mmd,35,0.49632067289132975,0.4027217586878435,0.29525666752167384
method_family:hard_exclusion,hard_exclusion,shd,mmd,35,0.2707070189768204,0.23417166229199501,0.1820161628327559
method_family:hard_exclusion,hard_exclusion,edge_count_from_thresholded_adjacency,mmd,35,-0.26333642548223063,-0.2115650758339154,-0.12349309560582473
method_family:hard_exclusion,hard_exclusion,sid,shd,35,0.8252610866445002,0.8560886061169617,0.6551546009705398
method_family:matched_l1,matched_l1,sid,mmd,7,0.42584353654929874,0.4642857142857143,0.3333333333333333
method_family:matched_l1,matched_l1,shd,mmd,7,0.3285300474705386,0.21622499104693416,0.19518001458970666
method_family:matched_l1,matched_l1,edge_count_from_thresholded_adjacency,mmd,7,-0.5215575748004524,-0.29095718698132317,-0.25031308716087947
method_family:matched_l1,matched_l1,sid,shd,7,0.8164601581853481,0.6666937223947136,0.4879500364742666
method_family:prior_free,prior_free,sid,mmd,7,0.5867588584851277,0.7387687194103584,0.5855400437691199
method_family:prior_free,prior_free,shd,mmd,7,0.4263617675843247,0.46848748060169065,0.29277002188455997
method_family:prior_free,prior_free,edge_count_from_thresholded_adjacency,mmd,7,-0.38185585327168137,-0.12613124477737825,-0.19518001458970666
method_family:prior_free,prior_free,sid,shd,7,0.85435027590526,0.6272727272727273,0.45
method_family:soft_frobenius,soft_frobenius,sid,mmd,175,0.5069397312707014,0.5950852439047001,0.3979752931358096
method_family:soft_frobenius,soft_frobenius,shd,mmd,175,0.3775721986036905,0.4220175660028987,0.28720946056001817
method_family:soft_frobenius,soft_frobenius,edge_count_from_thresholded_adjacency,mmd,175,-0.4228601348594844,-0.24144654327352413,-0.19551725096112058
method_family:soft_frobenius,soft_frobenius,sid,shd,175,0.8871116223886147,0.749050464404504,0.5428650068965108
