label_a,label_b,metric,diff_convention,n_pairs,mean_a,mean_b,mean_diff,median_diff,bootstrap_ci_low,bootstrap_ci_high,wins_a_lower,wins_b_lower,ties,sign_test_p_two_sided,bh_q_value
soft_frobenius_clean_conf1,prior_free,sid,a - b,7,69.71428571428571,66.14285714285714,3.5714285714285716,3.0,1.2857142857142858,6.142857142857143,0,5,2,0.0625,0.3125
soft_frobenius_clean_conf1,prior_free,shd,a - b,7,23.714285714285715,24.0,-0.2857142857142857,0.0,-1.0,0.42857142857142855,3,2,2,1.0,1.0
soft_frobenius_clean_conf1,prior_free,mmd,a - b,7,0.11368536126029236,0.11255254596709596,0.0011328152931964189,-0.0003578041046672503,-0.0008200587497525839,0.004578890028921221,5,2,0,0.453125,1.0
soft_frobenius_clean_conf1,prior_free,edge_count_from_thresholded_adjacency,a - b,7,14.428571428571429,14.714285714285714,-0.2857142857142857,0.0,-1.0,0.42857142857142855,3,2,2,1.0,1.0
soft_frobenius_clean_conf1,matched_l1,sid,a - b,7,69.71428571428571,67.57142857142857,2.142857142857143,1.0,0.2857142857142857,4.285714285714286,1,4,2,0.375,0.9375
soft_frobenius_clean_conf1,matched_l1,shd,a - b,7,23.714285714285715,24.142857142857142,-0.42857142857142855,0.0,-1.7142857142857142,0.7142857142857143,3,2,2,1.0,1.0
soft_frobenius_clean_conf1,matched_l1,mmd,a - b,7,0.11368536126029236,0.11844401972427124,-0.004758658463978884,-0.0044831520671237,-0.008065101155706784,-0.0022838026856757754,7,0,0,0.015625,0.15625
soft_frobenius_clean_conf1,matched_l1,edge_count_from_thresholded_adjacency,a - b,7,14.428571428571429,14.285714285714286,0.14285714285714285,0.0,-0.5714285714285714,0.8571428571428571,2,2,3,1.0,1.0
soft_frobenius_clean_conf1,hard_exclusion_clean,sid,a - b,7,69.71428571428571,65.0,4.714285714285714,1.0,0.2857142857142857,9.428571428571429,1,5,1,0.21875,0.7142857142857143
soft_frobenius_clean_conf1,hard_exclusion_clean,shd,a - b,7,23.714285714285715,22.428571428571427,1.2857142857142858,0.0,-1.8571428571428572,4.428571428571429,3,3,1,1.0,1.0
soft_frobenius_clean_conf1,hard_exclusion_clean,mmd,a - b,7,0.11368536126029236,0.10219764808369651,0.011487713176595872,-1.5505425601081146e-05,0.00011108829616530162,0.023940344914949598,4,3,0,1.0,1.0
soft_frobenius_clean_conf1,hard_exclusion_clean,edge_count_from_thresholded_adjacency,a - b,7,14.428571428571429,13.428571428571429,1.0,1.0,0.14285714285714285,1.7142857142857142,1,5,1,0.21875,0.7142857142857143
matched_l1,prior_free,sid,a - b,7,67.57142857142857,66.14285714285714,1.4285714285714286,0.0,-0.2857142857142857,4.428571428571429,1,2,4,1.0,1.0
matched_l1,prior_free,shd,a - b,7,24.142857142857142,24.0,0.14285714285714285,0.0,-0.7142857142857143,1.1428571428571428,3,2,2,1.0,1.0
matched_l1,prior_free,mmd,a - b,7,0.11844401972427124,0.11255254596709596,0.005891473757175303,0.0029049176976206625,0.0019430189536662596,0.010814267134724975,0,7,0,0.015625,0.15625
matched_l1,prior_free,edge_count_from_thresholded_adjacency,a - b,7,14.285714285714286,14.714285714285714,-0.42857142857142855,0.0,-0.8571428571428571,-0.14285714285714285,3,0,4,0.25,0.7142857142857143
hard_exclusion_clean,prior_free,sid,a - b,7,65.0,66.14285714285714,-1.1428571428571428,0.0,-7.428571428571429,5.142857142857143,3,3,1,1.0,1.0
hard_exclusion_clean,prior_free,shd,a - b,7,22.428571428571427,24.0,-1.5714285714285714,-1.0,-5.142857142857143,1.7142857142857142,4,2,1,0.6875,1.0
hard_exclusion_clean,prior_free,mmd,a - b,7,0.10219764808369651,0.11255254596709596,-0.010354897883399451,-0.000525480060778627,-0.024252770611209132,0.00294280266347627,4,3,0,1.0,1.0
hard_exclusion_clean,prior_free,edge_count_from_thresholded_adjacency,a - b,7,13.428571428571429,14.714285714285714,-1.2857142857142858,-1.0,-2.2857142857142856,-0.42857142857142855,5,0,2,0.0625,0.3125
