seed_value,condition_label,method_family,corruption_fraction,confidence,n_reference_forbidden_edges,mean_abs_w_reference_forbidden_edges,fraction_reference_forbidden_above_threshold,mean_abs_w_reference_non_targeted_edges,edge_count_from_thresholded_adjacency,sid,shd,mmd
501,prior_free,prior_free,,,10,0.22578943311999625,0.3,0.10600546113378773,13,77.0,30.0,0.16388690707561904
501,matched_l1,matched_l1,,,10,0.18327213881623242,0.3,0.09736089755339807,12,77.0,29.0,0.1644540986006024
501,soft_frobenius_clean_conf1,soft_frobenius,0.0,1.0,10,0.06586921134046154,0.1,0.10033132261042019,11,78.0,28.0,0.16365093056612212
501,hard_exclusion_clean,hard_exclusion,0.0,,10,0.0,0.0,0.09949178417003339,9,63.0,20.0,0.13375186087770308
502,prior_free,prior_free,,,10,0.08823165977713195,0.1,0.11429550745497145,12,50.0,15.0,0.10164259889833467
502,matched_l1,matched_l1,,,10,0.085718968214607,0.1,0.1081851845067765,12,50.0,15.0,0.10454751659595533
502,soft_frobenius_clean_conf1,soft_frobenius,0.0,1.0,10,0.03912654581518,0.1,0.11881357627308667,13,50.0,16.0,0.10006436452883163
502,hard_exclusion_clean,hard_exclusion,0.0,,10,0.0,0.0,0.12499547876473446,12,38.0,13.0,0.06008397305657518
503,prior_free,prior_free,,,10,0.05048807143324787,0.1,0.15763970751424136,17,66.0,27.0,0.08278547174070164
503,matched_l1,matched_l1,,,10,0.0011374555247148908,0.0,0.14828098767217676,17,76.0,29.0,0.1001522864381907
503,soft_frobenius_clean_conf1,soft_frobenius,0.0,1.0,10,0.000816682126431126,0.0,0.163867325300504,17,75.0,27.0,0.09393962787623847
503,hard_exclusion_clean,hard_exclusion,0.0,,10,0.0,0.0,0.1511880937256159,15,74.0,21.0,0.09789171912574243
504,prior_free,prior_free,,,10,0.057408596554234824,0.1,0.12106981749309101,13,49.0,17.0,0.0941941837499227
504,matched_l1,matched_l1,,,10,0.05049215859538862,0.1,0.10924321708001543,13,48.0,19.0,0.10699772080705568
504,soft_frobenius_clean_conf1,soft_frobenius,0.0,1.0,10,0.028565416247749997,0.0,0.12035374859807055,12,52.0,16.0,0.09353607547295872
504,hard_exclusion_clean,hard_exclusion,0.0,,10,0.0,0.0,0.12047004046684484,13,51.0,17.0,0.09366870368914407
505,prior_free,prior_free,,,10,0.11077338550717852,0.1,0.14542181337230928,16,80.0,27.0,0.11094185370472605
505,matched_l1,matched_l1,,,10,0.1026469364377873,0.1,0.12786826161654835,15,81.0,26.0,0.11194539683586306
505,soft_frobenius_clean_conf1,soft_frobenius,0.0,1.0,10,0.04189470734079999,0.0,0.15504485408329205,17,85.0,28.0,0.11048689277939264
505,hard_exclusion_clean,hard_exclusion,0.0,,10,0.0,0.0,0.16221560698593113,15,78.0,30.0,0.092599516907912
506,prior_free,prior_free,,,10,0.03922707390210106,0.1,0.12712097806671804,14,75.0,24.0,0.13159436306190184
506,matched_l1,matched_l1,,,10,0.03807095576915433,0.1,0.11354786335759562,13,75.0,23.0,0.1339746859343327
506,soft_frobenius_clean_conf1,soft_frobenius,0.0,1.0,10,0.02219084905465581,0.0,0.1286628492999713,13,75.0,23.0,0.13165499816470452
506,hard_exclusion_clean,hard_exclusion,0.0,,10,0.0,0.0,0.13426793188941405,13,75.0,23.0,0.1316705035903056
507,prior_free,prior_free,,,10,0.049915667444153454,0.1,0.1399136823579054,18,66.0,28.0,0.10282244353846574
507,matched_l1,matched_l1,,,10,0.04629361499143829,0.1,0.1264082597204073,18,66.0,28.0,0.10703643285789892
507,soft_frobenius_clean_conf1,soft_frobenius,0.0,1.0,10,0.010829680129392196,0.0,0.1445131593283853,18,73.0,28.0,0.1024646394337985
507,hard_exclusion_clean,hard_exclusion,0.0,,10,0.0,0.0,0.14042475277094954,17,76.0,33.0,0.10571725933849314
