condition,model,seed_value,fit_rng,sid,mmd_primary,shd,runtime_seconds,training_status,graph_status,sampler_status
centred_only,dagma,301,,13.0,0.0184491321541833,2.0,1.139799900003709,converged,valid_dag,available
centred_only,dagma,302,,0.0,0.004721405279772059,0.0,1.106677200004924,converged,valid_dag,available
centred_only,dagma,303,,8.0,0.0032764204885345843,3.0,0.845379599952139,converged,valid_dag,available
centred_only,dagma,304,,0.0,0.00047128080441082856,0.0,1.0264893000130542,converged,valid_dag,available
centred_only,dagma,305,,0.0,0.002154124142866101,0.0,1.1386448999983259,converged,valid_dag,available
centred_only,dcdi,301,42,78.0,0.12734844766889647,28.0,970.2096392000094,converged,valid_dag,available
centred_only,dcdi,302,42,51.0,0.10631815594371,31.0,841.134136800014,converged,valid_dag,available
centred_only,dcdi,303,42,71.0,0.12001970322751579,23.0,960.2549001000007,converged,valid_dag,available
centred_only,dcdi,304,42,69.0,0.12900258859841576,38.0,1039.9342932999716,converged,valid_dag,available
centred_only,dcdi,305,42,48.0,0.09673003539130162,32.0,1071.737140799989,converged,valid_dag,available
standardised,dagma,301,,64.0,0.09721597837705162,29.0,1.084417800011579,converged,valid_dag,available
standardised,dagma,302,,64.0,0.0930076138867018,26.0,1.5425607000361197,converged,valid_dag,available
standardised,dagma,303,,65.0,0.09451157024966125,23.0,1.4034049999900162,converged,valid_dag,available
standardised,dagma,304,,71.0,0.21699211381008174,26.0,1.9856449000071734,converged,valid_dag,available
standardised,dagma,305,,69.0,0.10506762974135164,25.0,1.35895540000638,converged,valid_dag,available
standardised,dcdi,301,42,76.0,0.1263855457497403,29.0,787.3359335999703,converged,valid_dag,available
standardised,dcdi,302,42,80.0,0.14520574250117319,33.0,932.6196746000205,converged,valid_dag,available
standardised,dcdi,303,42,45.0,0.13299423652141637,33.0,978.4494090000517,converged,valid_dag,available
standardised,dcdi,304,42,59.0,0.1485238300548259,27.0,975.6163483000128,converged,valid_dag,available
standardised,dcdi,305,42,84.0,0.1567517622046334,26.0,839.4274555000011,converged,valid_dag,available
